iter 80000 || ARM_L Loss: 2.2328 ARM_C Loss: 4.4933 ODM_L Loss: 1.9139 ODM_C Loss: 12.0604 Total:20.7004 || lr:0.000100 || Saving state, iter: 80000
iter 81300 || ARM_L Loss: 1.3189 ARM_C Loss: 2.3054 ODM_L Loss: 1.1753 ODM_C Loss: 1.5209 Total:6.3206 || lr:0.000100 || timer: 0.4311 sec.
iter 81400 || ARM_L Loss: 1.2690 ARM_C Loss: 2.2402 ODM_L Loss: 1.2235 ODM_C Loss: 1.8484 Total:6.5811 || lr:0.000100 || timer: 0.4586 sec.
iter 81500 || ARM_L Loss: 1.1729 ARM_C Loss: 2.2033 ODM_L Loss: 1.0726 ODM_C Loss: 1.8178 Total:6.2666 || lr:0.000100 || timer: 0.4335 sec.
iter 81600 || ARM_L Loss: 0.9226 ARM_C Loss: 2.0862 ODM_L Loss: 0.9101 ODM_C Loss: 1.3770 Total:5.2959 || lr:0.000100 || timer: 0.4587 sec.
iter 81700 || ARM_L Loss: 1.1410 ARM_C Loss: 2.0013 ODM_L Loss: 1.1412 ODM_C Loss: 1.4776 Total:5.7612 || lr:0.000100 || timer: 0.4433 sec.
iter 81800 || ARM_L Loss: 0.9273 ARM_C Loss: 1.9004 ODM_L Loss: 1.0128 ODM_C Loss: 1.3845 Total:5.2250 || lr:0.000100 || timer: 0.4646 sec.
iter 81900 || ARM_L Loss: 0.9843 ARM_C Loss: 2.0167 ODM_L Loss: 0.8200 ODM_C Loss: 1.2157 Total:5.0367 || lr:0.000100 || timer: 0.4478 sec.
iter 82000 || ARM_L Loss: 1.2768 ARM_C Loss: 2.1517 ODM_L Loss: 1.1247 ODM_C Loss: 1.3785 Total:5.9317 || lr:0.000100 || timer: 0.4341 sec.
iter 82100 || ARM_L Loss: 1.4162 ARM_C Loss: 2.2719 ODM_L Loss: 1.0780 ODM_C Loss: 1.8415 Total:6.6077 || lr:0.000100 || timer: 0.4673 sec.
iter 82200 || ARM_L Loss: 0.9155 ARM_C Loss: 1.8836 ODM_L Loss: 0.8421 ODM_C Loss: 1.3993 Total:5.0405 || lr:0.000100 || timer: 0.4583 sec.
iter 82300 || ARM_L Loss: 1.7690 ARM_C Loss: 2.3484 ODM_L Loss: 1.2473 ODM_C Loss: 2.0425 Total:7.4071 || lr:0.000100 || timer: 0.4683 sec.
iter 82400 || ARM_L Loss: 0.7724 ARM_C Loss: 1.8269 ODM_L Loss: 0.8099 ODM_C Loss: 1.2464 Total:4.6557 || lr:0.000100 || timer: 0.4413 sec.
iter 82500 || ARM_L Loss: 1.1594 ARM_C Loss: 2.2308 ODM_L Loss: 0.7806 ODM_C Loss: 1.0390 Total:5.2098 || lr:0.000100 || timer: 0.4675 sec.
iter 82600 || ARM_L Loss: 1.2826 ARM_C Loss: 2.2220 ODM_L Loss: 0.8201 ODM_C Loss: 1.4719 Total:5.7966 || lr:0.000100 || timer: 0.4507 sec.
iter 82700 || ARM_L Loss: 1.5026 ARM_C Loss: 2.2442 ODM_L Loss: 1.2410 ODM_C Loss: 1.9867 Total:6.9745 || lr:0.000100 || timer: 0.4578 sec.
iter 82800 || ARM_L Loss: 1.1887 ARM_C Loss: 2.0416 ODM_L Loss: 1.1752 ODM_C Loss: 1.6429 Total:6.0484 || lr:0.000100 || timer: 0.4336 sec.
iter 82900 || ARM_L Loss: 1.0858 ARM_C Loss: 2.1210 ODM_L Loss: 0.9566 ODM_C Loss: 1.5719 Total:5.7352 || lr:0.000100 || timer: 0.4589 sec.
iter 83000 || ARM_L Loss: 0.9973 ARM_C Loss: 2.2646 ODM_L Loss: 0.8501 ODM_C Loss: 1.3328 Total:5.4449 || lr:0.000100 || timer: 0.4441 sec.
iter 83100 || ARM_L Loss: 0.9017 ARM_C Loss: 1.8673 ODM_L Loss: 0.8151 ODM_C Loss: 1.2165 Total:4.8005 || lr:0.000100 || timer: 0.4564 sec.
iter 83200 || ARM_L Loss: 1.0481 ARM_C Loss: 2.0481 ODM_L Loss: 0.9302 ODM_C Loss: 1.6923 Total:5.7187 || lr:0.000100 || timer: 0.4204 sec.
iter 83300 || ARM_L Loss: 0.9438 ARM_C Loss: 2.0019 ODM_L Loss: 0.9832 ODM_C Loss: 1.3029 Total:5.2318 || lr:0.000100 || timer: 0.4416 sec.
iter 83400 || ARM_L Loss: 1.4131 ARM_C Loss: 1.9401 ODM_L Loss: 1.1225 ODM_C Loss: 1.6304 Total:6.1062 || lr:0.000100 || timer: 0.4706 sec.
iter 83500 || ARM_L Loss: 1.5115 ARM_C Loss: 2.1289 ODM_L Loss: 1.3432 ODM_C Loss: 1.5094 Total:6.4930 || lr:0.000100 || timer: 0.4537 sec.
iter 83600 || ARM_L Loss: 1.4172 ARM_C Loss: 2.3138 ODM_L Loss: 0.9958 ODM_C Loss: 1.5631 Total:6.2899 || lr:0.000100 || timer: 0.4553 sec.
iter 83700 || ARM_L Loss: 1.1279 ARM_C Loss: 1.8511 ODM_L Loss: 0.9526 ODM_C Loss: 1.5337 Total:5.4652 || lr:0.000100 || timer: 0.4577 sec.
iter 83800 || ARM_L Loss: 1.4089 ARM_C Loss: 2.1854 ODM_L Loss: 1.0297 ODM_C Loss: 1.6687 Total:6.2927 || lr:0.000100 || timer: 0.4800 sec.
iter 83900 || ARM_L Loss: 1.4456 ARM_C Loss: 2.1900 ODM_L Loss: 1.2551 ODM_C Loss: 1.9812 Total:6.8719 || lr:0.000100 || timer: 0.4720 sec.
iter 84000 || ARM_L Loss: 1.1000 ARM_C Loss: 1.8077 ODM_L Loss: 0.8375 ODM_C Loss: 1.3821 Total:5.1274 || lr:0.000100 || Saving state, iter: 84000
timer: 0.4580 sec.
iter 84100 || ARM_L Loss: 1.1265 ARM_C Loss: 1.9609 ODM_L Loss: 0.7790 ODM_C Loss: 1.2463 Total:5.1128 || lr:0.000100 || timer: 0.4660 sec.
iter 84200 || ARM_L Loss: 1.1617 ARM_C Loss: 2.0790 ODM_L Loss: 1.0980 ODM_C Loss: 1.6836 Total:6.0224 || lr:0.000100 || timer: 0.4690 sec.
iter 84300 || ARM_L Loss: 1.1002 ARM_C Loss: 2.3280 ODM_L Loss: 0.8486 ODM_C Loss: 2.0323 Total:6.3090 || lr:0.000100 || timer: 0.4579 sec.
iter 84400 || ARM_L Loss: 1.4494 ARM_C Loss: 2.0963 ODM_L Loss: 0.9812 ODM_C Loss: 1.4185 Total:5.9454 || lr:0.000100 || timer: 0.4411 sec.
iter 84500 || ARM_L Loss: 1.3619 ARM_C Loss: 1.9327 ODM_L Loss: 0.8882 ODM_C Loss: 1.4492 Total:5.6320 || lr:0.000100 || timer: 0.4437 sec.
iter 84600 || ARM_L Loss: 0.9660 ARM_C Loss: 1.8966 ODM_L Loss: 0.9678 ODM_C Loss: 1.5737 Total:5.4042 || lr:0.000100 || timer: 0.4421 sec.
iter 84700 || ARM_L Loss: 1.2389 ARM_C Loss: 1.8309 ODM_L Loss: 0.8708 ODM_C Loss: 1.0811 Total:5.0217 || lr:0.000100 || timer: 0.4936 sec.
iter 84800 || ARM_L Loss: 1.1891 ARM_C Loss: 2.0410 ODM_L Loss: 1.1180 ODM_C Loss: 1.8781 Total:6.2262 || lr:0.000100 || timer: 0.4628 sec.
iter 84900 || ARM_L Loss: 0.9014 ARM_C Loss: 1.6881 ODM_L Loss: 0.8504 ODM_C Loss: 1.1252 Total:4.5651 || lr:0.000100 || timer: 0.4535 sec.
iter 85000 || ARM_L Loss: 1.1503 ARM_C Loss: 2.1230 ODM_L Loss: 0.9452 ODM_C Loss: 1.4635 Total:5.6820 || lr:0.000100 || timer: 0.4477 sec.
iter 85100 || ARM_L Loss: 0.7927 ARM_C Loss: 2.0242 ODM_L Loss: 0.9417 ODM_C Loss: 1.5689 Total:5.3275 || lr:0.000100 || timer: 0.4593 sec.
iter 85200 || ARM_L Loss: 0.8755 ARM_C Loss: 1.7872 ODM_L Loss: 0.7561 ODM_C Loss: 1.1246 Total:4.5434 || lr:0.000100 || timer: 0.4640 sec.
iter 85300 || ARM_L Loss: 1.1207 ARM_C Loss: 2.0646 ODM_L Loss: 1.0019 ODM_C Loss: 1.6071 Total:5.7943 || lr:0.000100 || timer: 0.4495 sec.
iter 85400 || ARM_L Loss: 1.1919 ARM_C Loss: 1.9664 ODM_L Loss: 1.0626 ODM_C Loss: 1.2728 Total:5.4937 || lr:0.000100 || timer: 0.4760 sec.
iter 85500 || ARM_L Loss: 1.3017 ARM_C Loss: 2.2788 ODM_L Loss: 1.3304 ODM_C Loss: 1.9414 Total:6.8522 || lr:0.000100 || timer: 0.4681 sec.
iter 85600 || ARM_L Loss: 1.4340 ARM_C Loss: 2.2801 ODM_L Loss: 1.1909 ODM_C Loss: 1.3379 Total:6.2429 || lr:0.000100 || timer: 0.4480 sec.
iter 85700 || ARM_L Loss: 0.7899 ARM_C Loss: 1.6796 ODM_L Loss: 0.7766 ODM_C Loss: 1.2484 Total:4.4945 || lr:0.000100 || timer: 0.4452 sec.
iter 85800 || ARM_L Loss: 0.9660 ARM_C Loss: 1.8743 ODM_L Loss: 0.8165 ODM_C Loss: 1.0919 Total:4.7487 || lr:0.000100 || timer: 0.4348 sec.
iter 85900 || ARM_L Loss: 0.9693 ARM_C Loss: 1.6877 ODM_L Loss: 0.9123 ODM_C Loss: 1.1902 Total:4.7596 || lr:0.000100 || timer: 0.4342 sec.
iter 86000 || ARM_L Loss: 1.1845 ARM_C Loss: 2.0304 ODM_L Loss: 0.8432 ODM_C Loss: 1.3738 Total:5.4318 || lr:0.000100 || timer: 0.4395 sec.
iter 86100 || ARM_L Loss: 1.0126 ARM_C Loss: 1.7239 ODM_L Loss: 0.8797 ODM_C Loss: 1.2638 Total:4.8800 || lr:0.000100 || timer: 0.4363 sec.
iter 86200 || ARM_L Loss: 1.3017 ARM_C Loss: 2.0581 ODM_L Loss: 0.8456 ODM_C Loss: 1.4190 Total:5.6244 || lr:0.000100 || timer: 0.4396 sec.
iter 86300 || ARM_L Loss: 1.0673 ARM_C Loss: 2.0340 ODM_L Loss: 0.8684 ODM_C Loss: 1.4247 Total:5.3944 || lr:0.000100 || timer: 0.4351 sec.
iter 86400 || ARM_L Loss: 1.4431 ARM_C Loss: 2.3283 ODM_L Loss: 1.0806 ODM_C Loss: 1.9201 Total:6.7721 || lr:0.000100 || timer: 0.4256 sec.
iter 86500 || ARM_L Loss: 1.3157 ARM_C Loss: 2.0142 ODM_L Loss: 1.0627 ODM_C Loss: 1.4458 Total:5.8383 || lr:0.000100 || timer: 0.4637 sec.
iter 86600 || ARM_L Loss: 0.7852 ARM_C Loss: 1.6745 ODM_L Loss: 0.7666 ODM_C Loss: 1.2557 Total:4.4820 || lr:0.000100 || timer: 0.4720 sec.
iter 86700 || ARM_L Loss: 1.1716 ARM_C Loss: 1.9688 ODM_L Loss: 1.1924 ODM_C Loss: 1.6164 Total:5.9491 || lr:0.000100 || timer: 0.4407 sec.
iter 86800 || ARM_L Loss: 1.2066 ARM_C Loss: 1.8739 ODM_L Loss: 0.9907 ODM_C Loss: 1.6552 Total:5.7262 || lr:0.000100 || timer: 0.4415 sec.
iter 86900 || ARM_L Loss: 1.2344 ARM_C Loss: 2.0308 ODM_L Loss: 1.0698 ODM_C Loss: 1.4640 Total:5.7990 || lr:0.000100 || timer: 0.4172 sec.
iter 87000 || ARM_L Loss: 1.3484 ARM_C Loss: 2.1108 ODM_L Loss: 0.9778 ODM_C Loss: 1.6776 Total:6.1146 || lr:0.000100 || timer: 0.4474 sec.
iter 87100 || ARM_L Loss: 1.0309 ARM_C Loss: 1.9052 ODM_L Loss: 1.0148 ODM_C Loss: 1.2668 Total:5.2178 || lr:0.000100 || timer: 0.4216 sec.
iter 87200 || ARM_L Loss: 1.1488 ARM_C Loss: 1.8220 ODM_L Loss: 1.0509 ODM_C Loss: 1.4321 Total:5.4538 || lr:0.000100 || timer: 0.4581 sec.
iter 87300 || ARM_L Loss: 1.1155 ARM_C Loss: 2.0110 ODM_L Loss: 1.0860 ODM_C Loss: 1.5418 Total:5.7543 || lr:0.000100 || timer: 0.4602 sec.
iter 87400 || ARM_L Loss: 1.1030 ARM_C Loss: 2.0023 ODM_L Loss: 0.9599 ODM_C Loss: 1.3668 Total:5.4320 || lr:0.000100 || timer: 0.4493 sec.
iter 87500 || ARM_L Loss: 1.4382 ARM_C Loss: 1.8577 ODM_L Loss: 1.1328 ODM_C Loss: 1.3729 Total:5.8016 || lr:0.000100 || timer: 0.4498 sec.
iter 87600 || ARM_L Loss: 0.9249 ARM_C Loss: 1.8837 ODM_L Loss: 0.9059 ODM_C Loss: 1.5414 Total:5.2559 || lr:0.000100 || timer: 0.4809 sec.
iter 87700 || ARM_L Loss: 1.0583 ARM_C Loss: 1.9716 ODM_L Loss: 0.8762 ODM_C Loss: 1.2474 Total:5.1536 || lr:0.000100 || timer: 0.4435 sec.
iter 87800 || ARM_L Loss: 1.2466 ARM_C Loss: 2.1605 ODM_L Loss: 1.0265 ODM_C Loss: 1.7494 Total:6.1830 || lr:0.000100 || timer: 0.5049 sec.
iter 87900 || ARM_L Loss: 1.0045 ARM_C Loss: 1.9456 ODM_L Loss: 0.9057 ODM_C Loss: 1.3084 Total:5.1642 || lr:0.000100 || timer: 0.4452 sec.
iter 88000 || ARM_L Loss: 1.1081 ARM_C Loss: 2.1910 ODM_L Loss: 0.8333 ODM_C Loss: 1.2392 Total:5.3716 || lr:0.000100 || Saving state, iter: 88000
timer: 0.4823 sec.
iter 88100 || ARM_L Loss: 1.2279 ARM_C Loss: 1.8751 ODM_L Loss: 1.0739 ODM_C Loss: 1.5070 Total:5.6839 || lr:0.000100 || timer: 0.4709 sec.
iter 88200 || ARM_L Loss: 0.9977 ARM_C Loss: 1.8268 ODM_L Loss: 0.9664 ODM_C Loss: 1.3525 Total:5.1434 || lr:0.000100 || timer: 0.4278 sec.
iter 88300 || ARM_L Loss: 0.7026 ARM_C Loss: 1.5767 ODM_L Loss: 0.6752 ODM_C Loss: 1.1388 Total:4.0932 || lr:0.000100 || timer: 0.4611 sec.
iter 88400 || ARM_L Loss: 1.1447 ARM_C Loss: 1.8107 ODM_L Loss: 1.1051 ODM_C Loss: 1.3403 Total:5.4008 || lr:0.000100 || timer: 0.4537 sec.
iter 88500 || ARM_L Loss: 0.8379 ARM_C Loss: 1.5703 ODM_L Loss: 0.7447 ODM_C Loss: 1.2345 Total:4.3874 || lr:0.000100 || timer: 0.4558 sec.
iter 88600 || ARM_L Loss: 1.2198 ARM_C Loss: 1.9150 ODM_L Loss: 0.9890 ODM_C Loss: 1.2879 Total:5.4118 || lr:0.000100 || timer: 0.4308 sec.
iter 88700 || ARM_L Loss: 0.8931 ARM_C Loss: 1.7648 ODM_L Loss: 1.0056 ODM_C Loss: 1.3136 Total:4.9771 || lr:0.000100 || timer: 0.4718 sec.
iter 88800 || ARM_L Loss: 0.9408 ARM_C Loss: 1.8506 ODM_L Loss: 0.8114 ODM_C Loss: 1.6601 Total:5.2629 || lr:0.000100 || timer: 0.4812 sec.
iter 88900 || ARM_L Loss: 1.0385 ARM_C Loss: 1.8187 ODM_L Loss: 0.9853 ODM_C Loss: 1.7019 Total:5.5444 || lr:0.000100 || timer: 0.4615 sec.
iter 89000 || ARM_L Loss: 1.0279 ARM_C Loss: 2.0175 ODM_L Loss: 0.9485 ODM_C Loss: 1.1979 Total:5.1918 || lr:0.000100 || timer: 0.4671 sec.
iter 89100 || ARM_L Loss: 0.8587 ARM_C Loss: 1.7455 ODM_L Loss: 0.8019 ODM_C Loss: 1.2444 Total:4.6504 || lr:0.000100 || timer: 0.4300 sec.
iter 89200 || ARM_L Loss: 1.1935 ARM_C Loss: 2.0007 ODM_L Loss: 1.0704 ODM_C Loss: 1.4684 Total:5.7329 || lr:0.000100 || timer: 0.4368 sec.
iter 89300 || ARM_L Loss: 1.2354 ARM_C Loss: 1.9827 ODM_L Loss: 0.9560 ODM_C Loss: 1.5779 Total:5.7521 || lr:0.000100 || timer: 0.4311 sec.
iter 89400 || ARM_L Loss: 1.1758 ARM_C Loss: 1.8720 ODM_L Loss: 0.8829 ODM_C Loss: 1.0831 Total:5.0138 || lr:0.000100 || timer: 0.4352 sec.
iter 89500 || ARM_L Loss: 0.8415 ARM_C Loss: 1.7597 ODM_L Loss: 0.7733 ODM_C Loss: 1.2034 Total:4.5780 || lr:0.000100 || timer: 0.4219 sec.
iter 89600 || ARM_L Loss: 0.7521 ARM_C Loss: 1.6690 ODM_L Loss: 0.7083 ODM_C Loss: 1.0880 Total:4.2175 || lr:0.000100 || timer: 0.4301 sec.
iter 89700 || ARM_L Loss: 1.0436 ARM_C Loss: 1.9706 ODM_L Loss: 0.8664 ODM_C Loss: 1.7068 Total:5.5874 || lr:0.000100 || timer: 0.4923 sec.
iter 89800 || ARM_L Loss: 0.8786 ARM_C Loss: 1.5930 ODM_L Loss: 0.7274 ODM_C Loss: 1.3941 Total:4.5931 || lr:0.000100 || timer: 0.4440 sec.
iter 89900 || ARM_L Loss: 1.1224 ARM_C Loss: 2.0072 ODM_L Loss: 0.9688 ODM_C Loss: 1.4070 Total:5.5054 || lr:0.000100 || timer: 0.4815 sec.
iter 90000 || ARM_L Loss: 1.1921 ARM_C Loss: 1.8398 ODM_L Loss: 0.8017 ODM_C Loss: 1.1924 Total:5.0260 || lr:0.000100 || timer: 0.4418 sec.
iter 90100 || ARM_L Loss: 0.8916 ARM_C Loss: 1.7168 ODM_L Loss: 0.8325 ODM_C Loss: 1.4176 Total:4.8585 || lr:0.000100 || timer: 0.4526 sec.
iter 90200 || ARM_L Loss: 0.8156 ARM_C Loss: 1.7763 ODM_L Loss: 0.8615 ODM_C Loss: 1.0188 Total:4.4723 || lr:0.000100 || timer: 0.4968 sec.
iter 90300 || ARM_L Loss: 1.2613 ARM_C Loss: 2.1074 ODM_L Loss: 1.1900 ODM_C Loss: 1.4845 Total:6.0431 || lr:0.000100 || timer: 0.4489 sec.
iter 90400 || ARM_L Loss: 0.8558 ARM_C Loss: 1.7411 ODM_L Loss: 0.6872 ODM_C Loss: 1.2308 Total:4.5149 || lr:0.000100 || timer: 0.4413 sec.
iter 90500 || ARM_L Loss: 1.4074 ARM_C Loss: 2.1797 ODM_L Loss: 1.1201 ODM_C Loss: 1.6520 Total:6.3592 || lr:0.000100 || timer: 0.4677 sec.
iter 90600 || ARM_L Loss: 0.9041 ARM_C Loss: 1.7450 ODM_L Loss: 0.7364 ODM_C Loss: 0.9854 Total:4.3709 || lr:0.000100 || timer: 0.4498 sec.
iter 90700 || ARM_L Loss: 0.8993 ARM_C Loss: 1.9088 ODM_L Loss: 0.8273 ODM_C Loss: 1.2370 Total:4.8724 || lr:0.000100 || timer: 0.4711 sec.
iter 90800 || ARM_L Loss: 1.0704 ARM_C Loss: 1.7710 ODM_L Loss: 0.8137 ODM_C Loss: 1.0956 Total:4.7508 || lr:0.000100 || timer: 0.4515 sec.
iter 90900 || ARM_L Loss: 1.2263 ARM_C Loss: 1.8451 ODM_L Loss: 1.1183 ODM_C Loss: 1.2651 Total:5.4548 || lr:0.000100 || timer: 0.4543 sec.
iter 91000 || ARM_L Loss: 0.8092 ARM_C Loss: 1.8574 ODM_L Loss: 0.6765 ODM_C Loss: 0.9598 Total:4.3029 || lr:0.000100 || timer: 0.4214 sec.
iter 91100 || ARM_L Loss: 1.3090 ARM_C Loss: 1.9592 ODM_L Loss: 1.2231 ODM_C Loss: 1.6221 Total:6.1135 || lr:0.000100 || timer: 0.4292 sec.
iter 91200 || ARM_L Loss: 1.2953 ARM_C Loss: 1.8770 ODM_L Loss: 0.9317 ODM_C Loss: 1.4362 Total:5.5403 || lr:0.000100 || timer: 0.4704 sec.
iter 91300 || ARM_L Loss: 1.0493 ARM_C Loss: 1.7027 ODM_L Loss: 0.8035 ODM_C Loss: 1.1562 Total:4.7117 || lr:0.000100 || timer: 0.4561 sec.
iter 91400 || ARM_L Loss: 1.0274 ARM_C Loss: 1.8756 ODM_L Loss: 0.7722 ODM_C Loss: 1.1782 Total:4.8534 || lr:0.000100 || timer: 0.4448 sec.
iter 91500 || ARM_L Loss: 0.7529 ARM_C Loss: 1.7753 ODM_L Loss: 0.8239 ODM_C Loss: 1.3672 Total:4.7193 || lr:0.000100 || timer: 0.4701 sec.
iter 91600 || ARM_L Loss: 1.0241 ARM_C Loss: 1.5392 ODM_L Loss: 0.9239 ODM_C Loss: 1.1785 Total:4.6657 || lr:0.000100 || timer: 0.4425 sec.
iter 91700 || ARM_L Loss: 0.7714 ARM_C Loss: 1.8727 ODM_L Loss: 0.6543 ODM_C Loss: 1.3567 Total:4.6551 || lr:0.000100 || timer: 0.4549 sec.
iter 91800 || ARM_L Loss: 1.1241 ARM_C Loss: 1.9009 ODM_L Loss: 0.9548 ODM_C Loss: 1.3158 Total:5.2956 || lr:0.000100 || timer: 0.4652 sec.
iter 91900 || ARM_L Loss: 0.8206 ARM_C Loss: 1.6506 ODM_L Loss: 0.7853 ODM_C Loss: 1.4106 Total:4.6672 || lr:0.000100 || timer: 0.4518 sec.
iter 92000 || ARM_L Loss: 1.0671 ARM_C Loss: 1.8905 ODM_L Loss: 0.9586 ODM_C Loss: 1.2736 Total:5.1899 || lr:0.000100 || Saving state, iter: 92000
timer: 0.4567 sec.
iter 92100 || ARM_L Loss: 0.9006 ARM_C Loss: 1.6421 ODM_L Loss: 0.7678 ODM_C Loss: 1.2960 Total:4.6066 || lr:0.000100 || timer: 0.4582 sec.
iter 92200 || ARM_L Loss: 1.2739 ARM_C Loss: 1.9390 ODM_L Loss: 0.9217 ODM_C Loss: 1.5568 Total:5.6914 || lr:0.000100 || timer: 0.5107 sec.
iter 92300 || ARM_L Loss: 0.8207 ARM_C Loss: 1.6360 ODM_L Loss: 0.7964 ODM_C Loss: 1.4743 Total:4.7274 || lr:0.000100 || timer: 0.4298 sec.
iter 92400 || ARM_L Loss: 1.4149 ARM_C Loss: 1.7044 ODM_L Loss: 0.7147 ODM_C Loss: 1.1378 Total:4.9717 || lr:0.000100 || timer: 0.4707 sec.
iter 92500 || ARM_L Loss: 0.9677 ARM_C Loss: 1.7226 ODM_L Loss: 0.8225 ODM_C Loss: 1.4273 Total:4.9401 || lr:0.000100 || timer: 0.4342 sec.
iter 92600 || ARM_L Loss: 1.0977 ARM_C Loss: 1.9975 ODM_L Loss: 1.0354 ODM_C Loss: 1.4341 Total:5.5647 || lr:0.000100 || timer: 0.4741 sec.
iter 92700 || ARM_L Loss: 0.7867 ARM_C Loss: 1.5798 ODM_L Loss: 0.7861 ODM_C Loss: 1.0939 Total:4.2464 || lr:0.000100 || timer: 0.4861 sec.
iter 92800 || ARM_L Loss: 1.0457 ARM_C Loss: 1.8271 ODM_L Loss: 0.8801 ODM_C Loss: 1.3350 Total:5.0878 || lr:0.000100 || timer: 0.4714 sec.
iter 92900 || ARM_L Loss: 0.6413 ARM_C Loss: 1.4092 ODM_L Loss: 0.6343 ODM_C Loss: 1.0566 Total:3.7414 || lr:0.000100 || timer: 0.4445 sec.
iter 93000 || ARM_L Loss: 0.9063 ARM_C Loss: 2.0574 ODM_L Loss: 0.7877 ODM_C Loss: 1.2861 Total:5.0375 || lr:0.000100 || timer: 0.4631 sec.
iter 93100 || ARM_L Loss: 1.0430 ARM_C Loss: 2.0794 ODM_L Loss: 0.9821 ODM_C Loss: 1.5037 Total:5.6082 || lr:0.000100 || timer: 0.4441 sec.
iter 93200 || ARM_L Loss: 1.0993 ARM_C Loss: 1.9265 ODM_L Loss: 0.9429 ODM_C Loss: 1.4026 Total:5.3713 || lr:0.000100 || timer: 0.4919 sec.
iter 93300 || ARM_L Loss: 0.7838 ARM_C Loss: 1.7174 ODM_L Loss: 0.7229 ODM_C Loss: 1.2530 Total:4.4771 || lr:0.000100 || timer: 0.4388 sec.
iter 93400 || ARM_L Loss: 0.8773 ARM_C Loss: 1.6954 ODM_L Loss: 0.8711 ODM_C Loss: 1.3547 Total:4.7984 || lr:0.000100 || timer: 0.4676 sec.
iter 93500 || ARM_L Loss: 0.7959 ARM_C Loss: 1.9493 ODM_L Loss: 0.8188 ODM_C Loss: 1.4298 Total:4.9938 || lr:0.000100 || timer: 0.4810 sec.
iter 93600 || ARM_L Loss: 1.1827 ARM_C Loss: 2.0324 ODM_L Loss: 0.8256 ODM_C Loss: 1.3932 Total:5.4338 || lr:0.000100 || timer: 0.4449 sec.
iter 93700 || ARM_L Loss: 0.6265 ARM_C Loss: 1.5204 ODM_L Loss: 0.6588 ODM_C Loss: 0.9994 Total:3.8052 || lr:0.000100 || timer: 0.4357 sec.
iter 93800 || ARM_L Loss: 0.8182 ARM_C Loss: 1.7408 ODM_L Loss: 0.7575 ODM_C Loss: 1.1843 Total:4.5007 || lr:0.000100 || timer: 0.4596 sec.
iter 93900 || ARM_L Loss: 0.8296 ARM_C Loss: 1.6337 ODM_L Loss: 0.7055 ODM_C Loss: 1.1361 Total:4.3049 || lr:0.000100 || timer: 0.4494 sec.
iter 94000 || ARM_L Loss: 1.1402 ARM_C Loss: 1.6643 ODM_L Loss: 0.9362 ODM_C Loss: 1.0761 Total:4.8167 || lr:0.000100 || timer: 0.5458 sec.
